product_name,html_path,resource_path,image_filenames,plain_description,enriched_description,tags,item_type,suggested_projects,parts_count_guess,part_count_estimate_llm,price
Portable LED Magnifying Glass,C:\Users\Royma\Downloads\Temu Items 2\60 led magnifying glass mini pocket jewelry - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\60 led magnifying glass mini pocket jewelry - Temu_files,"0f16323a4c1c4f3e834a64c993fb89ff-goods.jpeg, 170263c309e748d9833f4c5339c75971-goods(1).jpeg, 170263c309e748d9833f4c5339c75971-goods.jpeg, 1725158786523-8e0f27abe4dc4260a0e673d5009ef6f2-goods(1).jpeg, 1725158786523-8e0f27abe4dc4260a0e673d5009ef6f2-goods.jpeg, 1725158787166-b40a5f082e7f40a882173e856166abae-goods.jpeg, 1725158787957-d24a287da1fc48aeb154c3badbc5617b-goods.jpeg, 1725158788557-b9570e9ed3f94e46be9bd632bc881945-goods.jpeg, 1725158789020-f321c3fe7e174d27b94f44fc957d50c9-goods.jpeg, 1725158789700-9cd3571cf9ad44468d98f5f3e1a0e1fd-goods.jpeg, 1725158790082-bb996294025d47af8185e14e4778ae54-goods(1).jpeg, 1725158790082-bb996294025d47af8185e14e4778ae54-goods.jpeg, 1725158790526-c6444dc9b4c94b079e786a3f9a177530-goods.jpeg, 1725158791360-744f1f83fdf243c0963233c533c32fac-goods.jpeg, fcb5e152-adf8-4812-800a-3c00e9713873_300x300.png","60x Portable LED Magnifying Glass - Mini Pocket for Jewelry, Currency Detection & DIY Crafts | Color : Silvery Grey Power Supply : Dry Battery Power Battery Type : Button Battery (Diameter＜20mm) See all details","This 60x Portable LED Magnifying Glass is an essential tool for DIY enthusiasts and electronics hobbyists. Its compact design makes it perfect for inspecting small components, solder joints, and intricate details in jewelry or currency. The built-in LED illumination ensures clear visibility in low-light conditions, enhancing your precision in crafts and repairs. Powered by a button battery, it is easy to carry and use on-the-go, making it a versatile addition to your maker toolkit.","magnifying glass, led, portable, diy, electronics, crafts, inspection, jewelry, currency, tools",magnifying tool,"electronics repair, jewelry making, currency authentication, detailed craft work",,,₪10.64
PWM DC Motor Speed Controller,C:\Users\Royma\Downloads\Temu Items 2\] adjustable motor speed controller pwm 6v - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\] adjustable motor speed controller pwm 6v - Temu_files,"0daf3745-a526-4a32-93ea-f9c39829dd8c_800x800.jpeg, 41db99f6-1579-465b-8a44-ac09dfe725d1.jpg, 434ef374-07c6-47f8-bea4-a826af8f262b.jpg, 87f5eed4-0900-4909-a7d2-1f30c4de7ba7(1).jpg, 87f5eed4-0900-4909-a7d2-1f30c4de7ba7.jpg, 89db7fcd-031f-4552-b0ee-cec49856ccca.jpg, 93a660f4-1335-4e8b-b3c3-5387fee4c876_300x300.jpeg, c92db1a7-5a9b-4c57-b062-683b5244dc01_1000x1000.jpeg, e3cb78aa-3a12-11ee-8bb5-0a580a6929c3.jpg, fa1837ad-19c0-4739-bcba-ccaa6bcdc937(1).jpg, fa1837ad-19c0-4739-bcba-ccaa6bcdc937.jpg, fcfb10b1-c09a-46c0-9c45-277de5ff52c3.jpg","[Compact Design] Adjustable DC Motor Speed Controller with PWM - 6V to 28V, 3A, Directional for Switch (Forward/Reverse), Overload Protection, for DIY Projects & Robotics | Battery Properties : Without Battery Power Mode : Room electrical/hard wiring Operating Voltage : ≤36V See all details and dimensions | Input voltage: DC6-28V Maximum current: 3A","This adjustable DC motor speed controller allows for precise control of motor speed and direction, making it ideal for various DIY projects and robotics applications. Operating within a voltage range of 6V to 28V and a maximum current of 3A, it features overload protection to ensure safe operation. The compact design makes it easy to integrate into your projects, whether you're building a simple robot or a more complex automation system. With the ability to switch between forward and reverse directions, this controller enhances the versatility of your motor-driven designs.","dc motor, pwm controller, speed control, robotics, diy electronics, adjustable voltage, overload protection, compact design, motor driver",motor speed controller,"robotic arm, automated vehicle, fan speed control, conveyor belt system, model train control",,1,₪8.43
A1X Intelligent Digital Multimeter,C:\Users\Royma\Downloads\Temu Items 2\a1x fully automatic anti burn multimeter - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\a1x fully automatic anti burn multimeter - Temu_files,"06da2949-0842-4b9c-ba69-3bcfaf42abb6_300x300.jpeg, 223da80b-d441-4008-bc46-edec2b8d3094.jpg, 3939dd479b83ff6e056940cf14aa96cb.jpg, 49014975be398a4d82c1d4232c30d9d1.jpg, 546f4097-904b-436a-90ae-f2280352f068.jpg, 67686021-7492-40bb-886d-769e7b802365.jpg, 72af7151-3ff9-4338-8be0-aae1ceeeb00b.jpg, 730913ca9df7419c8f5fc0a4bb3e8339.jpg, 734da8c664084fd9db40fff7182bddf8.jpg, 7b1b5c4699151bafb4f966f4fba9061d.jpg, 837c9cee15d76e047b14ebaf43b54ae0.jpg, 9dc55f66-89da-40e7-83a3-7c0883a09f19.jpg, a6cdd234-19c2-4cc2-a860-14e0fbcbab2f.jpg, b116c158-fc78-4179-8062-d944de875c44.jpg, b7d322b6-dfeb-42c7-b9db-915d1cefa046(1).jpg, b7d322b6-dfeb-42c7-b9db-915d1cefa046.jpg, ed9f96496a5d4a6cc5408e24f59d70ed(1).jpg, ed9f96496a5d4a6cc5408e24f59d70ed.jpg","A1X Fully Automatic Anti-Burn Intelligent Digital Multimeter, Rechargeable Electrical Voltmeter Ohm Meter Tester, Smart Non Contact Fast Accurately Measures DC AC Diode Voltage, Current, Resistance, Continuity, Temperature, Live Wires Check | Material : Plastic Special Features : Rechargeable Display Type : Lcd See all details and dimensions | PROFESSIONAL VOLTAGE TESTER: The multimeter can also be used as a professional non-contact voltage tester. The sensitivity of the ac volt tester is adjustable. HIGH EFFICIENCY: Activating capacitance, diode, v-alert, or auto mode measurement under any function design makes testing more convenient, and greatly improves your efficiency. It also features a v-alert function for added safety.","The A1X Fully Automatic Anti-Burn Intelligent Digital Multimeter is an essential tool for any DIY electronics lab. This rechargeable voltmeter offers precise measurements for DC and AC voltage, current, resistance, and temperature, making it versatile for various projects. With its non-contact voltage testing capability and adjustable sensitivity, you can safely and accurately check live wires. The multimeter's user-friendly features, including auto mode and v-alert function, enhance efficiency and safety during your measurements.","multimeter,digital,voltmeter,electronics,testing,measurement,non-contact,rechargeable",digital multimeter,"home automation,robotics,DIY electronics repair,solar panel testing",,1,₪50.45
A4 LED Light Box,C:\Users\Royma\Downloads\Temu Items 2\a4 led light box drawing tablet usb powered adjustable - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\a4 led light box drawing tablet usb powered adjustable - Temu_files,"1173f69e-6ab4-4dfd-9f5c-d8f83347856f.jpg, 1c5e326c-9373-4f7c-9f8a-4a81fe8c50b1.jpg, 1ede809741d4f9bc0c4981b4f79745ea.jpg, 41af0e5c-1ed7-4c13-973b-b1ab13d06ddb.jpg, 41ff60d5-9943-4956-bb1b-682644ace3e5.jpg, 4f12fe8a2f36704482117fc32f6f8c94.jpg, 5a15bba62c6633e48493daa2c4fceb5a.jpg, 70c00142-3ca3-4c03-b096-c913a460a068(1).jpg, 70c00142-3ca3-4c03-b096-c913a460a068.jpg, 7637bd6d-d3d4-4664-8bbd-23566d82cc6c(1).jpg, 7637bd6d-d3d4-4664-8bbd-23566d82cc6c.jpg, b89c2122-cfa7-46d0-b317-255ae73ab3d1_300x300.jpeg, c8576989-00f5-45a6-b8c1-b936c756c85a.jpg, f0897e6e-a493-4974-8472-e00eaf5bdce6(1).jpg, f0897e6e-a493-4974-8472-e00eaf5bdce6.jpg","A4 LED Light Box Drawing Tablet - USB Powered, Adjustable Brightness, Acrylic Art Tracing Pad for Painting and Writing, Perfect for Winter, New Year | Material : Acrylic Applicable Age Group : 14 Years+ Color : White See all details | Power supply by USB cable It can be adjusted brightness, it has 3 levels Specifications","The A4 LED Light Box is an essential tool for artists and crafters, providing a bright and adjustable light source for tracing and drawing. Powered by USB, it offers three levels of brightness, making it suitable for various lighting conditions. The acrylic surface is durable and easy to clean, perfect for both painting and writing projects. This light box is ideal for DIY enthusiasts looking to enhance their creative workflows with precision and clarity.","led light box, drawing tablet, usb powered, adjustable brightness, acrylic art, tracing pad, painting, writing, diy projects, craft tools",drawing tablet,"tracing artwork, calligraphy practice, sketching, crafting designs, lightbox animation",,1,₪38.59
Adjustable DC-DC Power Supply Module,C:\Users\Royma\Downloads\Temu Items 2\adjustable usb power supply module step _step voltage - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\adjustable usb power supply module step _step voltage - Temu_files,"1700480127161-b84994d90d8c4cb783a1e329c3f52e39-goods(1).jpeg, 1700480127161-b84994d90d8c4cb783a1e329c3f52e39-goods.jpeg, 1700480127466-e86424d3daf346fe98a8be54f9de8d8c-goods.jpeg, 1700480127991-044a4478337e4de7a68d7b8047d0889f-goods.jpeg, 1700480128402-e8a86b92f0e44497850d022ccbd6604b-goods.jpeg, 1700480128740-d1907e4912e745a7a19a38084ab6f8f0-goods.jpeg, 1700480129123-4a805409fab940b4afec295fec3ece19-goods.jpeg, 1700480134742-384946317c2e4024ae45a0cea04b3981-goods.jpeg, 1700480135419-58fa2e224c3441ab80eba79b1bb1c80f-goods.jpeg, 34791405-8019-4370-86de-e89c634682cd_750x686.png, 7f7c0afa683fe9d9a435081cf26ee36a.jpg, 95f50ebe5d78415db5acfed28286fd7f.jpg, 9e201862-8753-46f2-b7c0-0e54143a2ffb_750x491.png, c0fbee06-7884-42ef-999c-94608c1b70b9_300x300.png, cd35d470ff23ee41f57beff0ef16a8c0(1).jpg, cd35d470ff23ee41f57beff0ef16a8c0.jpg, d38f37fa9299aa50035379c480cc7ecb.jpg, d57eeef8d64e28df4933f88047eb32bc(1).jpg, d57eeef8d64e28df4933f88047eb32bc.jpg, f09601ac-eaf0-412f-b41f-e7b662d8639a_750x296.png","Adjustable DC-DC USB Power Supply Module - Step Up/Step Down Voltage Regulator with 3.5-12V Input & 1.2-24V Output, Digital Display, Potentiometer Knob, Compact USB/Micro USB/Pins for Electronics Projects, Adjustable Power Supply","This adjustable DC-DC power supply module is perfect for your electronics projects, allowing you to step up or step down voltage with ease. With an input range of 3.5-12V and an output range of 1.2-24V, it provides versatile power options for various applications. The built-in digital display and potentiometer knob make it easy to monitor and adjust voltage levels on the fly. Compact and equipped with USB, Micro USB, and pin connections, this module is ideal for prototyping and powering microcontrollers or other electronic components.","dc-dc converter, power supply, adjustable voltage, electronics, prototyping, usb power, voltage regulator, digital display, compact module",power supply module,"Arduino projects, Raspberry Pi power supply, LED strip power management, battery charging circuits",,1,
Adjustable DC-DC USB Power Supply Module,C:\Users\Royma\Downloads\Temu Items 2\adjustable usb step up step down power supply 2v 24v adjustable output portable usb powered converter with usb ports for smartphones tablets cameras tech accessories versatile charging sleek construction electronics .html,,,"Adjustable DC-DC USB Step-Up/Step-Down Power Supply Module - 1.2V-24V Adjustable Output, Portable USB-Powered Converter with Compact Design & Easy-Connect USB Ports for Smartphones, Tablets, Cameras, Drones, Tech Accessories, Versatile Charging, Sleek Construction, Highquality Electronics | Power Mode : USB Operating Voltage : ≤36V Battery Properties : Without Battery See all details and dimensions | Versatile power supply module that can step up or step down voltage as needed Adjustable output range from 1.2V to 24V for maximum flexibility Converts 5V input to either 3.5V or 12V output, perfect for a variety of applications USB interface for easy and convenient power source Compact and portable design for on-the-go use","This versatile Adjustable DC-DC USB Power Supply Module allows you to step up or step down voltage from 1.2V to 24V, making it ideal for a wide range of DIY electronics projects. With a compact design and USB interface, it provides a convenient power source for smartphones, tablets, cameras, and drones. Its adjustable output capabilities ensure that you can power various devices with ease, whether you're in the lab or on the go. Perfect for makers looking to enhance their projects with reliable and flexible power solutions.","dc-dc converter, usb power supply, adjustable voltage, electronics, diy projects, portable power, step-up, step-down, compact design, maker tools",power supply module,"battery-powered devices, portable charging stations, custom electronics, drone power solutions, smartphone accessories",,1,₪6.60
30pcs Alligator Clip Test Leads Set,C:\Users\Royma\Downloads\Temu Items 2\alligator leads set double end jumper wires - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\alligator leads set double end jumper wires - Temu_files,"034a65e8-ecd9-4c40-b540-258b338ea2e4_474x310.jpeg, 2fdd58db-5346-40b9-9a1a-0e0a33326cb3.jpg, 4fe1e87a-13c9-4166-8e49-12418e4947a5(1).jpg, 4fe1e87a-13c9-4166-8e49-12418e4947a5.jpg, 704eec20-58af-417e-ac48-534a9974c767(1).jpg, 704eec20-58af-417e-ac48-534a9974c767.jpg, 82bbd27a-665f-416d-bf14-a4bedf889384.jpg, 9d387cb3-9dda-4589-bd19-6b0f01c52bb4.jpg, 9e06cf42-3c4e-4e71-9f04-212b7e9369f7(1).jpg, 9e06cf42-3c4e-4e71-9f04-212b7e9369f7.jpg, aba22bd5-1e96-4cf1-bafc-fc9b7dc587cd(1).jpg, aba22bd5-1e96-4cf1-bafc-fc9b7dc587cd.jpg, c33ab27367fdccdcb2298cce300e2cad_1733724023081.jpg, e53e1f6b-0e1e-4d16-9ac8-f55493a5c7f0(1).jpg, e53e1f6b-0e1e-4d16-9ac8-f55493a5c7f0.jpg, ece36e2b-1530-4a13-874f-47e2eb350b57(1).jpg, ece36e2b-1530-4a13-874f-47e2eb350b57.jpg","30pcs Alligator Clip Test Leads Set with Double-End 50cm Jumper Wires - Colorful, Flexible, and Durable for Electronics and DIY Projects, DIY Electronics Setup|Vibrant Test Leads|Durable Construction, Alligator Clip Jumper Cables | Material : Other Power Mode : Uncharged Item ID : HY576559 Copy See all details and dimensions | Regarding this product: 1. It includes multi-colored test leads, with a total of 30 leads in 5 colors: 6 green, 6 white, 6 black, 6 yellow, and 6 red. 2. There are 60 alligator clips made from nickel-plated steel, featuring PVC insulators and vinyl-covered clips, designed with sturdy springs for easy installation. 3. The length is 19 inches, equipped with a strong built-in spring for a firm clamping force, with a maximum opening of 10mm, ensuring secure alligator clips for effective conduction.","This 30-piece alligator clip test leads set is perfect for any DIY electronics project. Each lead is 50cm long and comes in five vibrant colors, making it easy to organize your connections. The nickel-plated steel clips are durable and feature PVC insulators to ensure safety and reliability. With a strong built-in spring, these clips provide a firm grip for effective conduction, making them ideal for prototyping and testing circuits. Enhance your electronics setup with these flexible and colorful jumper wires.","alligator clips, jumper wires, test leads, electronics, diy projects, prototyping, colorful, durable, flexible, nickel-plated",test leads set,"circuit prototyping, breadboard connections, sensor testing, educational electronics, DIY robotics",30,30,₪22.05
Anti-Static ESD Precision Tweezers Set,C:\Users\Royma\Downloads\Temu Items 2\anti static esd precision tweezers set stainless - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\anti static esd precision tweezers set stainless - Temu_files,"1ad92346-27b5-4f3c-a724-05013f7fde2e(1).jpg, 1ad92346-27b5-4f3c-a724-05013f7fde2e.jpg, 62e274f3-1611-416a-b9ea-2b4fc4f3710d.jpg, 83785c57-570b-46d1-87bf-f8444d1c8b34.jpg, 9047de40-158a-4f00-bb60-fb7fd87c76dd.jpg, a50fdff2-c5a4-4321-8467-a4e15e3e59b8(1).jpg, a50fdff2-c5a4-4321-8467-a4e15e3e59b8.jpg, c1a9b7b3-93d8-40eb-825d-845a3bfc233c(1).jpg, c1a9b7b3-93d8-40eb-825d-845a3bfc233c.jpg, f30fcfc9-62c4-48f7-9f10-32ee27b8eaed_300x300.png, f77d74d9-da6e-4779-801b-f897af60193a.jpg","WeluvFit 12pcs Anti-Static ESD Precision Tweezers Set - Stainless Steel - Perfect for Electronics Repair, Jewelry Making, Crafts & DIY Projects - Essential Tool for Technicians & Hobbyists, WELUVFIT | Material : Metal, Plastic Power Supply : Use Without Electricity Brand : WELUVFIT See all details","The WeluvFit 12pcs Anti-Static ESD Precision Tweezers Set is an essential tool for any electronics lab or DIY workspace. Made from durable stainless steel, these tweezers are designed to handle delicate components without the risk of static damage. Ideal for electronics repair, jewelry making, and various crafts, this set provides a range of precision tips to suit different tasks. Whether you're a technician or a hobbyist, these tweezers will enhance your workflow and improve your project outcomes.","anti-static, esd, precision tweezers, electronics repair, jewelry making, crafts, diy, tools, stainless steel",tweezers set,"electronics repair, jewelry crafting, model building, PCB assembly",12,12,₪31.46
B7000 Multipurpose Adhesive,C:\Users\Royma\Downloads\Temu Items 2\b7000 crafts clear - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\b7000 crafts clear - Temu_files,"0974937cc09ecfde0b8595b693e420db.jpg, 144f3bdf760ffe51ac125ef4d390f82a(1).jpg, 144f3bdf760ffe51ac125ef4d390f82a.jpg, 319ec3ce-9f40-11ee-86e5-0a580a68309d.jpg, 40a8a8d50d001affa541f85a2d988cbf(1).jpg, 40a8a8d50d001affa541f85a2d988cbf.jpg, 4326ff084caea9ad0d96476a6e910147(1).jpg, 4326ff084caea9ad0d96476a6e910147.jpg, 7677e76b-e149-4b11-9a46-d098618dcc10.jpg, d401c45c0ffe5325777c34f2d30af42a.jpg, e11ee1ec77408dd47af65bff5f43fb10(1).jpg, e11ee1ec77408dd47af65bff5f43fb10.jpg, e3e32e1d-9171-4fa3-bcc4-74aff3b3fe97_300x300.jpeg, f34cc8dd60b4f8ccdbc68637d6d58b56(1).jpg, f34cc8dd60b4f8ccdbc68637d6d58b56.jpg, f80979d3-5f3d-4d3c-93a2-54d937f99b85(1).jpg, f80979d3-5f3d-4d3c-93a2-54d937f99b85.jpg","B7000 Rhinestone Glue for Crafts, 25/50/110ml Clear Super Jewelry Adhesive, Transparent Industrial Glue for Fabric, Phone Repair, Jewelry Making, Gems, Art Stones, Wood, Glass | Container Type : Tube Compatible Material : Plastic Item Form : Gel See all details | Why Choose B7000 Multipurpose Glue? - B7000 Multipurpose Super Adhesive is your top choice for jewelry making and crafts. This remarkable adhesive effectively seals off gases, liquids, and airflow, all while remaining transparent,, and highly elastic. Perfect for bonding crystals, metal, and various jewelry components, it's also ideal for a wide range of DIY projects, allowing you to create jewelry and crafts with your unique style","The B7000 Multipurpose Adhesive is an essential tool for any DIY maker working on microcontroller or embedded projects. Its clear, gel-like formula provides a strong bond for various materials, including fabric, glass, and metal, making it perfect for assembling intricate electronic enclosures or jewelry components. This adhesive is also resistant to gases and liquids, ensuring durability in your projects. Whether you're repairing devices or creating custom designs, B7000 offers the flexibility and strength needed for successful crafting.","adhesive, glue, crafts, jewelry, electronics, diy, multipurpose, clear, gel, repair",adhesive glue,"jewelry making, electronic enclosures, custom art pieces, device repair, craft projects",,,₪4.43
Basswood Strips and Squares Set,C:\Users\Royma\Downloads\Temu Items 2\basswood strips squares set natural unfinished - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\basswood strips squares set natural unfinished - Temu_files,"3c5d09ac694bcb75360daf0a104d3fd4.jpg, 5a9defa51c161642297c6ba588c2db86.jpg, 6d4326f195e2fe2b8cb2f57c059de350.jpg, 9281e004a0a99cd3ee6eaec686801c72.jpg, 92d9e622-dd14-4da1-8902-0d922a206269_1000x1000(1).jpeg, 92d9e622-dd14-4da1-8902-0d922a206269_1000x1000.jpeg, 94de1974-f871-11ed-96bc-0a580a698dd1(1).jpg, 94de1974-f871-11ed-96bc-0a580a698dd1.jpg, c5fa1081-10d4-40a6-897d-3227b4a0725c(1).jpg, c5fa1081-10d4-40a6-897d-3227b4a0725c.jpg, eb5481a1-3974-48b7-97e4-f6bdfe3d7f14_300x300.jpeg","YeulionCraft 45pcs Basswood Strips and Squares Set - Natural Unfinished Wood for DIY Crafts, Model Building, and Construction - Easy to Cut, Smooth Surface, Durable Build | Material : Wood Color : White Item ID : FE12940 Copy See all details","This 45-piece set of basswood strips and squares is perfect for a variety of DIY electronics projects and model building. The natural unfinished wood is easy to cut and shape, making it ideal for creating custom enclosures or structural components in your designs. With a smooth surface and durable build, these pieces can be used in both prototyping and final projects. Whether you're building a model or crafting a unique electronic device, this versatile wood set will meet your needs.","basswood, woodcraft, model building, diy projects, electronics, prototyping, crafting, woodworking",wood crafting material,"custom enclosures, model structures, decorative elements, prototype bases",45,45 pieces,₪19.35
Dual Display Battery Tester,C:\Users\Royma\Downloads\Temu Items 2\battery capacity voltage tester - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\battery capacity voltage tester - Temu_files,"1086dd07-55a1-4f8c-8636-6bcb7c2f816e.jpg, 7a3b89dc-6399-41b2-b59d-6400b86df240(1).jpg, 7a3b89dc-6399-41b2-b59d-6400b86df240.jpg, 953e66f2-234b-4739-8c30-c6020255c5bf(1).jpg, 953e66f2-234b-4739-8c30-c6020255c5bf.jpg, 95d39526-aa0a-4ae4-a4a0-d1a820fa18a8.jpg, b2271d89-d53f-4a6a-9b5b-61fe350966db.jpg, c90a3854-89ec-4bfb-a6e9-a4663bc929f1.jpg, c93bc261-90fb-4917-b8b0-bc69e070f32b_300x300.jpeg, f962c86f-9d14-4066-91f7-1ba7403355ff.jpg","Dual Display Battery Capacity & Voltage Tester - Easy Install, Durable ABS, LCD Backlit for Lead Acid & Lithium LiFePO4 Batteries, 8-100V Range, Quick Readout, Safe Reverse Polarity Protection, Wide Voltage Range | Power Mode : Room electrical/hard wiring Operating Voltage : 85V-265V Material : Plastic See all details and dimensions | Feature: 2 in 1 function: measure and display battery capacity and voltage. Dual display: capacity and voltage can be displayed at the same time, clear and easy to read. LCD Display: Large LCD screen with backlight for easy reading. Wide Operating Voltage Range: This battery monitor can withstand a wide operating voltage range from capacity, voltage to voltage (DC 7-68V)","This Dual Display Battery Capacity & Voltage Tester is perfect for DIY electronics enthusiasts looking to monitor battery performance. With its dual display functionality, you can simultaneously view both battery capacity and voltage, making it easy to assess battery health at a glance. The large LCD screen with backlight ensures readability in various lighting conditions. Designed for lead-acid and lithium LiFePO4 batteries, it operates within a wide voltage range of 8-100V, providing versatility for different projects. Its durable ABS construction and built-in reverse polarity protection make it a reliable tool for any electronics lab.","battery tester, voltage monitor, dual display, lcd, electronics, diy, lead acid, lithium, voltage range, capacity measurement",battery capacity and voltage tester,"battery health monitoring, solar power systems, electric vehicle battery management, DIY power supply projects",,1,₪19.18
Black Matte ABS Plastic Sheet,C:\Users\Royma\Downloads\Temu Items 2\black matte textured abs plastic sheet durable diy craft - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\black matte textured abs plastic sheet durable diy craft - Temu_files,"6562243b-8b72-4fdb-bf2e-1ce7afc8b6fa(1).jpg, 6562243b-8b72-4fdb-bf2e-1ce7afc8b6fa.jpg, 7090674d-fd95-4695-80be-a951dfe403cb(1).jpg, 7090674d-fd95-4695-80be-a951dfe403cb.jpg, 895896fd-5757-4c47-a177-17c84e963887(1).jpg, 895896fd-5757-4c47-a177-17c84e963887.jpg, a74344a2-ea21-42e4-bc79-3af5fcfe26f8(1).jpg, a74344a2-ea21-42e4-bc79-3af5fcfe26f8.jpg, ae678b4b-587e-4d78-bb2f-a672cf5c2f5b(1).jpg, ae678b4b-587e-4d78-bb2f-a672cf5c2f5b.jpg, c51e2770-19f4-4c6d-9cb0-31f057f9702e(1).jpg, c51e2770-19f4-4c6d-9cb0-31f057f9702e.jpg, e4b2efd1-7fee-46b3-af82-0cc0ef708179_300x300.png, e70ce6e3-6479-487c-bc31-89279cf34c86(1).jpg, e70ce6e3-6479-487c-bc31-89279cf34c86.jpg, f549a422-6071-4255-ba76-91d6ea54d0ac(1).jpg, f549a422-6071-4255-ba76-91d6ea54d0ac.jpg","Black Matte Textured ABS Plastic Sheet, 30.48cm x 40.64cm, Durable DIY Craft & Home Decor Material, Stronger Flexibility Than PMMA, Matte, Sandpaper Texture, Acrylic | Material : Plastic Shape : Sheet Item ID : QY636504 Copy See all details and dimensions","This black matte textured ABS plastic sheet is a versatile material ideal for various DIY projects. Measuring 30.48cm x 40.64cm, it offers enhanced flexibility compared to PMMA, making it suitable for crafting and home decor applications. Its matte, sandpaper-like texture provides a unique aesthetic and can be easily cut or shaped for your specific needs. Use this durable material for prototyping, enclosures, or decorative elements in your microcontroller projects.","abs plastic, matte finish, diy crafts, home decor, flexible material, prototyping, electronics enclosure",plastic sheet,"custom enclosures, decorative panels, DIY signs, model making",,1,₪35.53
TTP223 Capacitive Touch Switch Module,C:\Users\Royma\Downloads\Temu Items 2\capacitive touch switch button sensor module 3.3v 5v self - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\capacitive touch switch button sensor module 3.3v 5v self - Temu_files,"10a2b2ec75d620a6ced93a229e2e1553.jpg, 2cfee6d72c1d8b8f1b823d696d0fe4a4.jpg, 2e74c172-0459-45a5-b9fc-07fd56f2632a_300x300.jpeg, 5c036fb149d2b9d3dacf027d811d9572(1).jpg, 5c036fb149d2b9d3dacf027d811d9572.jpg, 5cf112817f76fc8538b0a872aacf47a9(1).jpg, 5cf112817f76fc8538b0a872aacf47a9.jpg, 5f78381a-837f-4c3b-bca3-6978f9b225e4_2000x2000(1).jpeg, 5f78381a-837f-4c3b-bca3-6978f9b225e4_2000x2000.jpeg, 874019be17321126154ec6dfc66ae787.jpg, bf677a828d02a9654277d0d3571126d4.jpg","20pcs Capacitive Touch Switch Button Sensor Module 3.3V 5V Self Locking Touching Button For Arduino + 2PCS 40 Pin Header | Contact Material : Copper Alloy Termination Type : Through Hole Pole & Throw Configuration : Spst See all details and dimensions | Description: The Module Is Based On A Touch-sensing IC TTP223 Capacitive Touch Switch Module, It Allows You To Avoid The Trouble Of Conventional Push-type Buttons. Specification: 1.Size:15*11mm / 0.59in*0.43in 2.Power:2.5-5.5V Trigger Setting Mode: (1- > Short ; 0- > No Short) AB=00:No-lock High TTL Level Ouput; AB=01:Self-lock High TTL Level Ouput; AB=10:No-lock Low TTL Level Ouput; AB=11:Self-lock Low TTL Level Ouput; Package Include: 20Pcs TTP223 Touch Key Switch Module 2Pcs 40 Pin Header","This pack includes 20 capacitive touch switch modules based on the TTP223 IC, designed for easy integration into your DIY electronics projects. With a voltage range of 2.5-5.5V, these modules eliminate the need for traditional push buttons, offering a sleek and modern touch interface. The self-locking feature allows for versatile triggering modes, making them perfect for various applications. Ideal for Arduino and other microcontroller projects, these modules come with 2 additional 40-pin headers for convenient connections. Enhance your projects with touch-sensitive controls and reduce mechanical wear with these reliable modules.","capacitive, touch, switch, module, ttp223, arduino, electronics, diy, sensors, self-locking",touch sensor module pack,"smart home controls, interactive displays, robotics, DIY game controllers, home automation systems",20,22,₪4.84
